시군구별,행정동,비율,기울기,2023_출생아수,2023_동별_추정출생아수,연간_인구감소폭,2024_출생아수,2025_출생아수,2026_출생아수,2027_출생아수,2028_출생아수,2029_출생아수
동대문구,전농제1동,0.11447260834014718,-121.24999999999996,1359.0,156,-13.87980376124284,142,128,114,100,86,72
동대문구,전농제2동,0.044971381847914965,-121.24999999999996,1359.0,61,-5.452780049059688,56,50,45,39,34,28
동대문구,제기동,0.03434178250204415,-121.24999999999996,1359.0,47,-4.163941128372851,43,38,34,30,26,22
동대문구,청량리동,0.02616516762060507,-121.24999999999996,1359.0,36,-3.1725265739983635,32,29,26,23,20,17
동대문구,회기동,0.01062959934587081,-121.24999999999996,1359.0,14,-1.2888389206868351,13,12,11,9,8,7
동대문구,휘경제1동,0.03761242845461979,-121.24999999999996,1359.0,51,-4.560506950122648,47,42,37,33,28,24
동대문구,휘경제2동,0.059689288634505316,-121.24999999999996,1359.0,81,-7.237326246933767,74,67,59,52,45,38
동작구,노량진제1동,0.0987012987012987,-185.5357142857143,1695.0,167,-18.312615955473103,149,131,112,94,76,57
동작구,노량진제2동,0.007792207792207792,-185.5357142857143,1695.0,13,-1.4457328385899817,12,10,9,7,6,5
동작구,대방동,0.07077922077922078,-185.5357142857143,1695.0,120,-13.132073283858999,107,94,81,67,54,41
동작구,사당제1동,0.04025974025974026,-185.5357142857143,1695.0,68,-7.469619666048239,61,53,46,38,31,23
동작구,사당제2동,0.10584415584415584,-185.5357142857143,1695.0,179,-19.637871057513916,160,140,120,101,81,62
동작구,사당제3동,0.06948051948051948,-185.5357142857143,1695.0,118,-12.891117810760669,105,92,79,66,53,40
동작구,사당제4동,0.03506493506493506,-185.5357142857143,1695.0,59,-6.505797773654916,53,46,40,33,27,20
동작구,사당제5동,0.053246753246753244,-185.5357142857143,1695.0,90,-9.87917439703154,80,70,61,51,41,31
동작구,상도제1동,0.1,-185.5357142857143,1695.0,170,-18.55357142857143,151,132,114,95,77,58
동작구,상도제2동,0.09415584415584416,-185.5357142857143,1695.0,160,-17.469271799628945,142,125,107,90,72,55
동작구,상도제3동,0.04025974025974026,-185.5357142857143,1695.0,68,-7.469619666048239,61,53,46,38,31,23
동작구,상도제4동,0.06623376623376623,-185.5357142857143,1695.0,112,-12.288729128014843,100,88,75,63,51,39
동작구,신대방제1동,0.05519480519480519,-185.5357142857143,1695.0,94,-10.240607606679037,83,73,63,53,42,32
동작구,신대방제2동,0.06818181818181818,-185.5357142857143,1695.0,116,-12.650162337662339,103,90,78,65,52,40
동작구,흑석동,0.09480519480519481,-185.5357142857143,1695.0,161,-17.58974953617811,143,126,108,90,73,55
마포구,공덕동,0.10351826792963464,-201.14285714285714,1571.0,163,-20.82196017784651,142,121,100,79,59,38
마포구,대흥동,0.033152909336941816,-201.14285714285714,1571.0,52,-6.668470906630582,45,39,32,25,19,12
마포구,도화동,0.05751014884979702,-201.14285714285714,1571.0,90,-11.567755654359171,79,67,56,44,33,21
